"cellType","ensemblID","geneSet","symbol"
"neutrophil","ENSG00000111647","neut2","UHRF1BP1L"
"neutrophil","ENSG00000111679","neut3","PTPN6"
"neutrophil","ENSG00000111684","neut1","LPCAT3"
"neutrophil","ENSG00000111707","neut2","SUDS3"
"neutrophil","ENSG00000111729","neut6","CLEC4A"
"neutrophil","ENSG00000111802","neut4","TDP2"
"neutrophil","ENSG00000111837","neut2","MAK"
"neutrophil","ENSG00000111859","neut4","NEDD9"
"neutrophil","ENSG00000111897","neut2","SERINC1"
"neutrophil","ENSG00000111913","neut2","FAM65B"
"neutrophil","ENSG00000112053","neut2","SLC26A8"
"neutrophil","ENSG00000112062","neut2","MAPK14"
"neutrophil","ENSG00000112078","neut2","KCTD20"
"neutrophil","ENSG00000112079","neut2","STK38"
"neutrophil","ENSG00000112081","neut4","SRSF3"
"neutrophil","ENSG00000112096","neut5","SOD2"
"neutrophil","ENSG00000112137","neut3","PHACTR1"
"neutrophil","ENSG00000112195","neut1","TREML2"
"neutrophil","ENSG00000112242","neut4","E2F3"
"neutrophil","ENSG00000112299","neut2","VNN1"
"neutrophil","ENSG00000112303","neut1","VNN2"
"neutrophil","ENSG00000112304","neut6","ACOT13"
"neutrophil","ENSG00000112406","neut2","HECA"
"neutrophil","ENSG00000112531","neut4","QKI"
"neutrophil","ENSG00000112561","neut1","TFEB"
"neutrophil","ENSG00000112584","neut2","FAM120B"
"neutrophil","ENSG00000112658","neut1","SRF"
"neutrophil","ENSG00000112679","neut1","DUSP22"
"neutrophil","ENSG00000112763","neut5","BTN2A1"
"neutrophil","ENSG00000112851","neut4","ERBIN"
"neutrophil","ENSG00000113108","neut3","APBB3"
"neutrophil","ENSG00000113141","neut3","IK"
"neutrophil","ENSG00000113163","neut4","COL4A3BP"
"neutrophil","ENSG00000113269","neut6","RNF130"
"neutrophil","ENSG00000113303","neut1","BTNL8"
"neutrophil","ENSG00000113312","neut6","TTC1"
"neutrophil","ENSG00000113368","neut5","LMNB1"
"neutrophil","ENSG00000113391","neut2","FAM172A"
"neutrophil","ENSG00000113719","neut1","ERGIC1"
"neutrophil","ENSG00000113732","neut6","ATP6V0E1"
"neutrophil","ENSG00000113742","neut2","CPEB4"
"neutrophil","ENSG00000113749","neut1","HRH2"
"neutrophil","ENSG00000113758","neut1","DBN1"
"neutrophil","ENSG00000113916","neut1","BCL6"
"neutrophil","ENSG00000114030","neut2","KPNA1"
"neutrophil","ENSG00000114268","neut1","PFKFB4"
"neutrophil","ENSG00000114316","neut1","USP4"
"neutrophil","ENSG00000114331","neut2","ACAP2"
"neutrophil","ENSG00000114353","neut1","GNAI2"
"neutrophil","ENSG00000114480","neut4","GBE1"
"neutrophil","ENSG00000114573","neut2","ATP6V1A"
"neutrophil","ENSG00000114626","neut1","ABTB1"
"neutrophil","ENSG00000114656","neut1","KIAA1257"
"neutrophil","ENSG00000114745","neut1","GORASP1"
"neutrophil","ENSG00000114796","neut4","KLHL24"
"neutrophil","ENSG00000115091","neut4","ACTR3"
"neutrophil","ENSG00000115128","neut6","SF3B6"
"neutrophil","ENSG00000115271","neut2","GCA"
"neutrophil","ENSG00000115317","neut1","HTRA2"
"neutrophil","ENSG00000115520","neut2","COQ10B"
"neutrophil","ENSG00000115524","neut2","SF3B1"
"neutrophil","ENSG00000115548","neut4","KDM3A"
"neutrophil","ENSG00000115561","neut2","CHMP3"
"neutrophil","ENSG00000115590","neut1","IL1R2"
"neutrophil","ENSG00000115594","neut3","IL1R1"
"neutrophil","ENSG00000115756","neut3","HPCAL1"
"neutrophil","ENSG00000115762","neut4","PLEKHB2"
"neutrophil","ENSG00000115828","neut2","QPCT"
"neutrophil","ENSG00000115935","neut2","WIPF1"
"neutrophil","ENSG00000115956","neut5","PLEK"
"neutrophil","ENSG00000116014","neut0","KISS1R"
"neutrophil","ENSG00000116030","neut6","SUMO1"
"neutrophil","ENSG00000116044","neut4","NFE2L2"
"neutrophil","ENSG00000116209","neut4","TMEM59"
"neutrophil","ENSG00000116266","neut2","STXBP3"
"neutrophil","ENSG00000116299","neut1","KIAA1324"
"neutrophil","ENSG00000116337","neut1","AMPD2"
"neutrophil","ENSG00000116473","neut2","RAP1A"
"neutrophil","ENSG00000116489","neut2","CAPZA1"
"neutrophil","ENSG00000116584","neut3","ARHGEF2"
"neutrophil","ENSG00000116679","neut4","IVNS1ABP"
"neutrophil","ENSG00000116698","neut2","SMG7"
"neutrophil","ENSG00000116701","neut1","NCF2"
"neutrophil","ENSG00000116729","neut1","WLS"
"neutrophil","ENSG00000116741","neut1","RGS2"
"neutrophil","ENSG00000116871","neut3","MAP7D1"
"neutrophil","ENSG00000116954","neut4","RRAGC"
"neutrophil","ENSG00000116977","neut5","LGALS8"
"neutrophil","ENSG00000116991","neut5","SIPA1L2"
"neutrophil","ENSG00000117000","neut4","RLF"
"neutrophil","ENSG00000117091","neut3","CD48"
"neutrophil","ENSG00000117115","neut1","PADI2"
"neutrophil","ENSG00000117151","neut2","CTBS"
"neutrophil","ENSG00000117298","neut1","ECE1"
"neutrophil","ENSG00000117410","neut3","ATP6V0B"
"neutrophil","ENSG00000117523","neut4","PRRC2C"
"neutrophil","ENSG00000117614","neut6","SYF2"
"neutrophil","ENSG00000117676","neut1","RPS6KA1"
"neutrophil","ENSG00000117862","neut6","TXNDC12"
"neutrophil","ENSG00000118217","neut5","ATF6"
"neutrophil","ENSG00000118260","neut2","CREB1"
"neutrophil","ENSG00000118503","neut5","TNFAIP3"
"neutrophil","ENSG00000118508","neut4","RAB32"
"neutrophil","ENSG00000118520","neut2","ARG1"
"neutrophil","ENSG00000118564","neut2","FBXL5"
"neutrophil","ENSG00000118579","neut4","MED28"
"neutrophil","ENSG00000118707","neut3","TGIF2"
"neutrophil","ENSG00000118960","neut3","HS1BP3"
"neutrophil","ENSG00000119013","neut6","NDUFB3"
"neutrophil","ENSG00000119048","neut4","UBE2B"
"neutrophil","ENSG00000119318","neut2","RAD23B"
"neutrophil","ENSG00000119328","neut2","FAM206A"
"neutrophil","ENSG00000119471","neut2","HSDL2"
"neutrophil","ENSG00000119535","neut1","CSF3R"
"neutrophil","ENSG00000119682","neut2","AREL1"
"neutrophil","ENSG00000119707","neut2","RBM25"
"neutrophil","ENSG00000119772","neut1","DNMT3A"
"neutrophil","ENSG00000119801","neut2","YPEL5"
