"cellType","ensemblID","geneSet","symbol"
"lymphocyte","ENSG00000104964","lymp1","AES"
"lymphocyte","ENSG00000141385","lymp1","AFG3L2"
"lymphocyte","ENSG00000106351","lymp1","AGFG2"
"lymphocyte","ENSG00000085662","lymp1","AKR1B1"
"lymphocyte","ENSG00000109107","lymp1","ALDOC"
"lymphocyte","ENSG00000189046","lymp1","ALKBH2"
"lymphocyte","ENSG00000154122","lymp1","ANKH"
"lymphocyte","ENSG00000134461","lymp1","ANKRD16"
"lymphocyte","ENSG00000165138","lymp1","ANKS6"
"lymphocyte","ENSG00000177721","lymp1","ANXA2R"
"lymphocyte","ENSG00000197043","lymp1","ANXA6"
"lymphocyte","ENSG00000125843","lymp1","AP5S1"
"lymphocyte","ENSG00000034053","lymp1","APBA2"
"lymphocyte","ENSG00000166313","lymp1","APBB1"
"lymphocyte","ENSG00000100823","lymp1","APEX1"
"lymphocyte","ENSG00000165272","lymp1","AQP3"
"lymphocyte","ENSG00000132254","lymp1","ARFIP2"
"lymphocyte","ENSG00000136002","lymp1","ARHGEF4"
"lymphocyte","ENSG00000175906","lymp1","ARL4D"
"lymphocyte","ENSG00000181652","lymp1","ATG9B"
"lymphocyte","ENSG00000138363","lymp1","ATIC"
"lymphocyte","ENSG00000171130","lymp1","ATP6V0E2"
"lymphocyte","ENSG00000164053","lymp1","ATRIP"
"lymphocyte","ENSG00000119986","lymp1","AVPI1"
"lymphocyte","ENSG00000174684","lymp1","B4GAT1"
"lymphocyte","ENSG00000151929","lymp1","BAG3"
"lymphocyte","ENSG00000124243","lymp1","BCAS4"
"lymphocyte","ENSG00000105552","lymp1","BCAT2"
"lymphocyte","ENSG00000110987","lymp1","BCL7A"
"lymphocyte","ENSG00000161267","lymp1","BDH1"
"lymphocyte","ENSG00000164039","lymp1","BDH2"
"lymphocyte","ENSG00000162373","lymp1","BEND5"
"lymphocyte","ENSG00000133134","lymp1","BEX2"
"lymphocyte","ENSG00000136717","lymp1","BIN1"
"lymphocyte","ENSG00000136573","lymp1","BLK"
"lymphocyte","ENSG00000108578","lymp1","BLMH"
"lymphocyte","ENSG00000186222","lymp1","BLOC1S4"
"lymphocyte","ENSG00000145919","lymp1","BOD1"
"lymphocyte","ENSG00000178096","lymp1","BOLA1"
"lymphocyte","ENSG00000071462","lymp1","BUD23"
"lymphocyte","ENSG00000171224","lymp1","C10orf35"
"lymphocyte","ENSG00000137720","lymp1","C11orf1"
"lymphocyte","ENSG00000149179","lymp1","C11orf49"
"lymphocyte","ENSG00000173715","lymp1","C11orf80"
"lymphocyte","ENSG00000179088","lymp1","C12orf42"
"lymphocyte","ENSG00000151131","lymp1","C12orf45"
